gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
ZNF697,0.2634955464961565,0.3983693980104604,11734,non-target,unlabeled,,,,1.01,-2.06,0,0.440171,0.0818451498667064,-0.6941366220635665,7.964318122326463,-1.4995547492957553,1.6164011311519386,,,,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1
CEACAM19,0.2634931738229142,0.3983181212183366,11735,non-target,unlabeled,,,,1.29,0.782,0,0.106258,,-0.5334249572327276,-0.1770365247722108,2.41889688595774,4.516467385291869,,,,,,,,,,,,,,0
CHRNA2,0.2634753170188027,0.3982668444262127,11736,non-target,unlabeled,,,,1.15,0.751,0,0.0,,,,,,,,,,,,,,,,,,,0
TULP1,0.2634246648122103,0.3982155676340888,11737,non-target,unlabeled,,,,0.943,-0.187,0,0.40134,,,,,,,,,,,,,,,,,,,0
MFSD11,0.2633997237667291,0.3981642908419649,11738,non-target,unlabeled,,,,0.888,0.255,0,0.0,-2.6802274764259857,0.2355239250957313,0.3515400834733021,1.3450828988650207,0.0577664055209944,0.9061767005473026,0.978858889454916,0.9091623036649216,0.0726821889076133,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
GALNT9,0.2633914234220679,0.398113014049841,11739,non-target,unlabeled,,,,0.95,0.661,0,0.256582,,,,,,,,,,,,,,,,,,,0
TMEM86B,0.2633677349258692,0.3980617372577171,11740,non-target,unlabeled,,,,1.87,-0.756,0,0.465291,-7.989430563709583,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DEGS2,0.263257548213005,0.3980104604655933,11741,non-target,unlabeled,,,,1.17,1.38,0,0.0,,,,2.232750025320399,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
FSCN3,0.2632338443232067,0.3979591836734694,11742,non-target,unlabeled,,,,1.04,0.881,0,0.0,,,,,,,,,,,,,,,,,,,0
ADRA1D,0.2632281717658042,0.3979079068813455,11743,approved,P,Approved,,,1.69,0.0109,0,0.0,,,,,,,,,,,,,,,,,,,0
